j6_gen1_dev,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72
0,-0.04,-0.04,-0.07,-0.24,-0.25,-0.27,-0.27,-0.29
50,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1
100,0.14,0.14,0.12,0.1,0.1,0.09,0.09,0.09
150,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.21
200,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31
300,0.51,0.51,0.52,0.52,0.51,0.53,0.52,0.5
400,0.71,0.71,0.71,0.71,0.71,0.72,0.73,0.73
500,0.91,0.91,0.91,0.9,0.9,0.93,0.94,0.95
600,1.09,1.09,1.1,1.09,1.11,1.11,1.1,0.96
700,1.33,1.33,1.36,1.3,1.29,1.3,1.13,0.97
800,1.49,1.49,1.51,1.48,1.51,1.38,1.14,0.98
900,1.69,1.69,1.67,1.67,1.63,1.39,1.15,0.99
1000,1.87,1.87,1.9,1.85,1.74,1.4,1.16,1
