j6_gen1_dev,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72
0,-0.04,-0.04,-0.07,-0.24,-0.25,-0.27,-0.27,-0.29
0.2,-0.05,-0.05,-0.08,-0.25,-0.26,-0.28,-0.28,-0.33
0.4,-0.07,-0.15,-0.28,-0.43,-0.55,-0.58,-0.61,-0.65
0.6,-0.45,-0.5,-0.62,-0.76,-0.78,-0.78,-0.78,-0.78
0.8,-0.52,-0.62,-0.74,-0.86,-0.86,-0.86,-0.86,-0.86
1,-0.6,-0.77,-0.82,-0.94,-0.96,-0.99,-0.97,-0.98
1.5,-1.4,-1.4,-1.46,-1.6,-1.61,-1.63,-1.62,-1.63
2,-1.87,-1.87,-1.96,-2.07,-2.07,-2.17,-2.31,-2.34
2.5,-2.23,-2.23,-2.39,-2.57,-2.57,-2.78,-2.78,-2.8
3,-2.72,-2.72,-3.02,-3.1,-3.16,-3.16,-3.3,-3.31
3.5,-3.47,-3.47,-3.47,-3.65,-3.63,-3.61,-3.6,-3.85
4,-3.67,-3.67,-3.85,-3.85,-4.08,-4.08,-4.08,-4.08
4.5,-3.68,-3.68,-3.86,-3.86,-4.63,-4.95,-5.1,-5.3
5,-3.91,-3.91,-4.63,-4.96,-5.34,-5.78,-5.9,-6.03
5.5,-4.8,-4.8,-5.34,-5.78,-6.31,-6.4,-6.5,-6.6
5.9,-5.21,-5.21,-6.31,-6.5,-6.94,-6.95,-6.94,-6.94
